,predict,name,position
558,1.01,Shandon Baptiste,MID
559,0.94,Shane Duffy,DEF
560,0.82,Shane Long,FWD
561,1.78,Solomon March,MID
562,0.27,Sonny Perkins,MID
563,0.9,Steven Alzate,MID
564,1.8186363636363638,Steven Bergwijn,MID
565,0.54,Stipe Perica,FWD
566,1.36,Stuart Armstrong,MID
567,2.47,Stuart Dallas,DEF
568,0.46,Stuart McKinstry,MID
569,1.44,Takumi Minamino,MID
570,1.12,Tanguy Ndombele,MID
571,2.19,Tariq Lamptey,DEF
572,0.93,Tariqe Fosu-Henry,MID
573,0.37,Taylor Richards,MID
574,1.85,Teemu Pukki,FWD
575,0.68,Theo Walcott,MID
576,1.68,Thiago Alcántara do Nascimento,MID
577,0.29,Thierry Small,DEF
578,0.24,Thomas Dickson-Peters,FWD
579,0.49,Thomas McGill,GK
580,0.22,Tim Iroegbunam,MID
581,1.0,Tim Krul,GK
582,1.97,Timothy Castagne,DEF
583,1.47,Tino Livramento,DEF
584,0.43,Tobi Omole,DEF
585,0.74,Toby Alderweireld,DEF
586,1.01,Todd Cantwell,MID
587,1.19,Tom Cleverley,MID
588,0.66,Tom Davies,MID
589,0.59,Tom Heaton,GK
590,3.52,Tomas Soucek,MID
591,0.39,Tommy Doyle,MID
592,0.49,Toti António Gomes,DEF
593,3.35,Trent Alexander-Arnold,DEF
594,1.0,Troy Deeney,FWD
595,0.3,Tyler Morton,MID
596,0.32,Tyler Onyango,MID
597,1.21,Tyler Roberts,MID
598,2.208636363636364,Tyrick Mitchell,DEF
599,1.78,Tyrone Mings,DEF
600,2.37,Vicente Guaita,GK
601,1.71,Victor Lindelöf,DEF
602,0.23,Viljami Sinisalo,GK
603,0.27,Vincent Angelini,GK
604,3.188636363636364,Virgil van Dijk,DEF
605,1.07,Vitalii Mykolenko,DEF
606,2.56,Vitaly Janelt,MID
607,2.15,Vladimir Coufal,DEF
608,0.22,Vontae Daley-Campbell,DEF
609,0.92,Wayne Hennessey,GK
610,0.66,Wesley Fofana,DEF
611,2.28,Wesley Moraes,FWD
612,2.71,Wilfred Ndidi,MID
613,2.22,Wilfried Zaha,MID
614,1.36,Will Hughes,MID
615,0.66,Will Norris,GK
616,0.27,William Smallbone,MID
617,0.34,William Troost-Ekong,DEF
618,0.48,Willy Boly,DEF
619,0.26,Willy Caballero,GK
620,0.57,Winston Reid,DEF
621,2.528636363636364,Wout Weghorst,FWD
622,0.84,Xherdan Shaqiri,MID
623,0.58,Yan Valery,DEF
624,2.03,Yerry Mina,DEF
625,0.28,Yerson Mosquera Valdelamar,DEF
626,2.42,Yoane Wissa,MID
627,2.76,Youri Tielemans,MID
628,1.27,Yves Bissouma,MID
629,0.65,Zack Steffen,GK
630,2.98,Álvaro Fernández,GK
631,3.2,Çaglar Söyüncü,DEF
632,2.77,Aaron Ramsdale,GK
633,1.12,Ainsley Maitland-Niles,DEF
634,0.88,Albert Sambi Lokonga,MID
635,2.79,Alexandre Lacazette,FWD
636,0.63,Arthur Okonkwo,GK
637,1.58,Ben White,DEF
638,0.93,Bernd Leno,GK
639,2.39,Bukayo Saka,MID
640,0.41,Charlie Patino,MID
641,1.34,Cédric Soares,DEF
642,1.42,Edward Nketiah,FWD
643,2.15,Emile Smith Rowe,MID
644,0.71,Folarin Balogun,FWD
645,3.15,Gabriel Magalhães,DEF
646,2.32,Gabriel Teodoro Martinelli Silva,MID
647,1.37,Granit Xhaka,MID
648,0.83,Héctor Bellerín,DEF
649,0.63,Karl Hein,GK
650,3.13,Kieran Tierney,DEF
651,0.87,Konstantinos Mavropanos,DEF
652,0.97,Lucas Torreira,MID
653,1.92,Martin Ødegaard,MID
654,0.87,Mattéo Guendouzi,MID
655,0.48,Mika Biereth,FWD
656,0.95,Mohamed Naser El Sayed Elneny,MID
657,1.34,Nicolas Pépé,MID
658,0.62,Nuno Varela Tavares,DEF
659,0.48,Omari Hutchinson,MID
660,0.88,Pablo Marí,DEF
661,2.87,Pierre-Emerick Aubameyang,MID
662,0.48,Reiss Nelson,MID
663,1.16,Rob Holding,DEF
664,0.45,Ryan Alebiosu,DEF
665,0.93,Rúnar Alex Rúnarsson,GK
666,0.48,Salah-Eddine Oulad M'hand,MID
667,0.89,Sead Kolasinac,DEF
668,0.69,Takehiro Tomiyasu,DEF
669,1.35,Thomas Partey,MID
670,0.87,William Saliba,DEF
671,1.06,Willian Borges Da Silva,MID
672,0.36,Zach Awe,DEF
673,0.95,Andreas Christensen,DEF
674,1.57,Antonio Rüdiger,DEF
675,1.17,Benjamin Chilwell,DEF
676,1.9,Callum Hudson-Odoi,MID
677,1.83,Christian Pulisic,MID
678,1.67,César Azpilicueta,DEF
679,1.51,Edouard Mendy,GK
680,0.61,Emerson Palmieri dos Santos,DEF
681,0.77,Ethan Ampadu,DEF
682,2.36,Hakim Ziyech,MID
683,0.83,Harvey Vale,MID
684,1.68,Jorge Luiz Frello Filho,MID
685,1.38,Kai Havertz,MID
686,1.07,Kepa Arrizabalaga,GK
